ref                                                             title                                                      size  lastUpdated                 downloadCount  voteCount  usabilityRating  
--------------------------------------------------------------  --------------------------------------------------  -----------  --------------------------  -------------  ---------  ---------------  
joebeachcapital/fortnite-statistics                             Fortnite Statistics                                        2495  2023-09-06 06:35:33.823000           2122         53  1.0              
iyadali/fortnite-players-stats                                  Fortnite Players Stats                                   142392  2021-09-13 02:32:32.727000           1352         32  0.8235294        
johnharshith/fortnite-statistics-corresponding-to-mental-state  Fortnite Statistics Corresponding To Mental State          2332  2021-11-29 19:46:56.343000           1023         55  1.0              
danoozy44/fortnite-wins-leaderboard-at-19052020-12-pm-ist       Fortnite Wins Leaderboard                                  2458  2020-05-22 13:02:16.790000            283         10  0.9411765        
jackdaoud/esports-earnings-for-players-teams-by-game            eSports Earnings                                          42914  2020-12-17 08:52:23.127000           6223         71  1.0              
stephaniekreutz/fortnite-all-weapons                            Fortnite All Weapons                                       3679  2022-10-03 01:29:33.213000            336          5  0.88235295       
aditmagotra/gameplay-images                                     Gameplay Images                                      2689917676  2022-01-19 06:47:19.263000            706         40  0.875            
mohammadtalib786/fortnite                                       Fortnite                                                   3488  2023-08-28 18:23:41.177000             43          1  0.8235294        
jruots/fortnite-battle-royale-weapon-attributes                 Fortnite: Battle Royale - Weapon Attributes                1047  2018-01-13 15:15:37.183000            746         15  0.5882353        
thedevastator/unlocking-fortnite-player-performance-with-88-ga  Fortnite Player Performance                                2654  2022-12-06 16:22:56.923000            111          1  1.0              
jruots/fortnite-battle-royale-chest-location-coordinates        Fortnite: Battle Royale Chest Location Coordinates         1971  2017-12-02 14:33:15.927000            302          8  0.5882353        
rushabhwadkar/fortnite-game-stats                               Fortnite Game Stats                                       15969  2018-10-12 07:26:55.187000            539          2  0.23529412       
haroonafridiii/fortnite-players-dataset                         Fortnite_Dataset                                      251938822  2023-12-23 16:34:07.810000             25          4  0.1875           
jahnavipaliwal/video-game-reviews-and-ratings                   Video Game Reviews and Ratings                          1154177  2024-11-13 23:06:19.700000           2263         41  1.0              
virtuoso7/fortnite-ratings-per-weapon                           fortnite ratings per weapon                                1047  2018-02-14 21:59:01.690000            180          3  0.23529412       
alpaaa/fortnite                                                 Fortnite                                              380628302  2020-06-07 09:42:03.480000             32          0  0.11764706       
wsbrown/north-america-central-fncs-grand-finals-placements      North America Central FNCS Grand Finals Statistics         6900  2024-04-11 22:29:26.070000             34          5  0.9411765        
mzkjess/gaming-behavior-and-demographics-dataset                Gaming Behavior and Demographics Dataset                   1127  2024-05-07 07:19:01.463000            167          2  0.7058824        
carloshfm/cloud-gaming-network-telemetry                        Cloud Gaming Network Telemetry                      27031188385  2024-03-26 18:45:45.707000             22          0  0.6875           
alirezashz/cloud-gaming-captured-screen-dataset                 CGReplay Cloud Gaming Captured Screen Dataset       39402031376  2025-03-18 15:23:42.663000              0          0  0.3125           
